"State/Territory","Week_Ending_Date","Data_Collection_Period","State/Territory_WVAL","National_WVAL","Regional_WVAL","WVAL_Category","Coverage","date_updated"
"Mississippi","2026-02-28","45 Days",6.32002102126557,3.03992074389475,2.72938194397211,"High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Arkansas","2026-02-07","1 Year",2.51273075982849,3.84084112038015,2.82668650000124,"Low","Limited Coverage","2026-04-02T07:35:53.953Z"
"Montana","2022-04-30","All Results",7.60948813071342,3.64769866825619,3.13747106659143,"High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Maryland","2023-07-08","All Results",4.43712898830762,2.53399684204043,2.98218387447712,"Moderate","Limited Coverage","2026-04-02T07:35:53.953Z"
"Mississippi","2023-07-08","All Results",3.2730373941099,2.53399684204043,2.98218387447712,"Low","Limited Coverage","2026-04-02T07:35:53.953Z"
"Mississippi","2023-04-15","All Results",0.870928516694178,2.21705016321198,1.96643672292312,"Very Low","Limited Coverage","2026-04-02T07:35:53.953Z"
"Connecticut","2022-09-24","All Results",3.09015352083319,5.53365777857961,5.43111611752865,"Low","Limited Coverage","2026-04-02T07:35:53.953Z"
"Indiana","2022-06-11","All Results",3.34407272316627,5.34624174625266,4.41246125401083,"Low","Limited Coverage","2026-04-02T07:35:53.953Z"
"Mississippi","2024-06-15","All Results",2.97835210185134,3.56394126171661,3.51448581543894,"Low","Limited Coverage","2026-04-02T07:35:53.953Z"
"Mississippi","2023-03-25","All Results",1.13997987745947,4.28507632607387,3.52170089433719,"Very Low","Limited Coverage","2026-04-02T07:35:53.953Z"
"Iowa","2022-07-09","All Results",4.81216244938905,9.90304320923083,10.4348537376937,"Moderate","Limited Coverage","2026-04-02T07:35:53.953Z"
"Mississippi","2024-02-17","All Results",25.1994611716608,7.79642517759633,9.96048041600095,"Very High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Arkansas","2026-02-28","1 Year",3.68552103647437,3.03992074389475,2.72938194397211,"Moderate","Limited Coverage","2026-04-02T07:35:53.953Z"
"Florida","2022-09-24","All Results",6.69061685080578,5.53365777857961,5.64906440483581,"High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Hawaii","2022-05-28","All Results",14.7834966079713,8.04038889985415,10.2205043275352,"Very High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Montana","2024-01-20","All Results",9.91152031007707,9.16588586061095,8.40171559238483,"Very High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Arkansas","2023-12-09","All Results",9.71821248105128,8.87044054647532,7.7912607077136,"Very High","Limited Coverage","2026-04-02T07:35:53.953Z"
"Oklahoma","2025-06-14","1 Year",1.5656450302319,1.99385487263273,1.96033172746966,"Very Low","Limited Coverage","2026-04-02T07:35:53.953Z"
